cod_loja,data_compra,inicio,termino,loja,cod_produto,produto,ean,valor_unitario_sem_imposto,quantidade,valor_total,impostos,dinheiro_de_volta
410,2019-07-05 10:30:41,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 11:58:18,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 14:06:58,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 14:50:06,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 16:04:56,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,3,9993.87,1128.8700000000001,135.0
410,2019-07-05 16:09:36,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 16:26:21,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 16:33:10,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 16:39:39,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,4,13325.16,1505.16,180.0
410,2019-07-05 16:58:18,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,2,6662.58,752.58,90.0
410,2019-07-05 17:39:45,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 17:46:05,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 17:56:38,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
410,2019-07-05 17:59:21,2019-07-05 00:00:00,2019-07-20 00:00:00,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29,45.0
